from,to,weight
abfallentsorgung,handelsverbanddeutschlandev,2
abfallentsorgung,bundesvereinigungderkommunalenspitzenverbaende,4
andreesgentzsch,bundesverbandderenergieundwasserwirtschaftev,1
andreesgentzsch,umweltrecht,1
anketuschek,bundesverbandderenergieundwasserwirtschaftev,1
anketuschek,erneuerbareenergien,1
artenschutz,bundesamtfuernaturschutz,1
artenschutz,wwfdeutschland,1
atomkraft,bundesverbandderenergieundwasserwirtschaftev,1
atomkraft,bundesvereinigungderkommunalenspitzenverbaende,1
atomkraft,kommissionlagerunghochradioaktiverabfaelle,1
atomkraft,bundesamtfuerkerntechnischeentsorgungssicherheit,2
atomkraft,bundesgesellschaftfuerendlagerungmbh,2
atomkraft,bundfuerumweltundnaturschutzdeutschlandev,2
atomkraft,agoraenergiewende,3
atomkraft,greenpeaceev,3
atomkraft,bundesamtfuerstrahlenschutz,4
atomkraft,oekoinstitutev,4
axelgedaschko,bundesverbanddeutscherwohnungsundimmobilienunternehmenev,5
axelgedaschko,bundesarbeitsgemeinschaftimmobilienwirtschaft,1
axelgedaschko,infrastruktur,5
axelgedaschko,fluechtlinge,1
axelwelge,bundesvereinigungderkommunalenspitzenverbaende,1
axelwelge,luftbelastung,1
beatejessel,erneuerbareenergien,1
beatejessel,infrastruktur,1
beatejessel,umweltrecht,1
beatejessel,bundesamtfuernaturschutz,3
biodiversitaet,bundesamtfuernaturschutz,2
bjoernklusmann,bundesverbanderneuerbareenergienev,2
bjoernklusmann,erneuerbareenergien,2
christophbals,germanwatchev,2
christophbals,klimaschutz,2
christophpistner,atomkraft,1
christophpistner,oekoinstitutev,1
detlefraphael,abfallentsorgung,1
detlefraphael,bundesvereinigungderkommunalenspitzenverbaende,1
dietrichjelden,artenschutz,1
dietrichjelden,biodiversitaet,2
dietrichjelden,bundesamtfuernaturschutz,3
dirkjansen,bundfuerumweltundnaturschutzdeutschlandev,1
dirkjansen,gewaesser,1
erneuerbareenergien,bundesamtfuernaturschutz,1
